type,dp(Z),dp(V),zeta
accende,0.000805152979066,0,0.000805152979066
accent,0.006843800322061,0.012341561040694,-0.005497760718633
acceptant,0.000402576489533,0.000667111407605,-0.000264534918072
accepté,0,0.000667111407605,-0.000667111407605
accepte-le,0.000402576489533,0.000333555703803,6.90207857303449E-05
accepter,0.077294685990338,0.1184122748499,-0.041117588859562
acceptez-le,0.000805152979066,0.001000667111408,-0.000195514132342
accerser,0.000402576489533,0,0.000402576489533
accès,0.030595813204509,0.01967978652435,0.010916026680159
accessible,0.001207729468599,0.00266844563042,-0.001460716161821
accessoire,0.000402576489533,0,0.000402576489533
accident,0.054347826086957,0.030020013342228,0.024327812744728
accidentaires,0.000402576489533,0,0.000402576489533
accipez,0.000402576489533,0,0.000402576489533
acclamation,0,0.001000667111408,-0.001000667111408
accolade,0.001610305958132,0,0.001610305958132
accoler,0.000402576489533,0.000333555703803,6.90207857303449E-05
accommodant,0.001610305958132,0,0.001610305958132
accommodement,0.011674718196457,0.001667778519013,0.010006939677445
accommoder,0.057165861513688,0.004669779853236,0.052496081660452
accommodera-t-il,0.000402576489533,0,0.000402576489533
accommodiais,0.000402576489533,0,0.000402576489533
accommodons-nous,0.001610305958132,0,0.001610305958132
accompagné,0.001610305958132,0.000667111407605,0.000943194550527
accompagner,0.060386473429952,0.061040693795864,-0.000654220365912
accompli,0.001207729468599,0.001000667111408,0.000207062357191
accomplir,0.028985507246377,0.052701801200801,-0.023716293954424
accomplissement,0.000402576489533,0.000333555703803,6.90207857303449E-05
accoplira,0,0.000333555703803,-0.000333555703803
accord,0.061191626409018,0.038025350233489,0.023166276175529
accorda-t-il,0,0.000333555703803,-0.000333555703803
accordé,0.001610305958132,0.000667111407605,0.000943194550527
accorde-nous,0,0.000333555703803,-0.000333555703803
accorde-t,0,0.000333555703803,-0.000333555703803
accorde-t-il,0,0.000667111407605,-0.000667111407605
accordée,0,0.000333555703803,-0.000333555703803
accorder,0.106280193236715,0.150100066711141,-0.043819873474426
accordez-le,0,0.00133422281521,-0.00133422281521
accordez-m'en,0,0.000333555703803,-0.000333555703803
accordez-nous,0,0.000667111407605,-0.000667111407605
accordons-nous,0.000805152979066,0,0.000805152979066
accort,0.00402576489533,0.001000667111408,0.003025097783923
accortement,0.001207729468599,0.000333555703803,0.000874173764796
accosté,0.000402576489533,0,0.000402576489533
accoster,0.002818035426731,0.000667111407605,0.002150924019126
accot,0.000402576489533,0,0.000402576489533
accouchée,0.000402576489533,0.000667111407605,-0.000264534918072
accouchement,0.000805152979066,0,0.000805152979066
accoucher,0.006038647342995,0.001667778519013,0.004370868823983
accouder,0.000402576489533,0,0.000402576489533
accoupler,0.000805152979066,0,0.000805152979066
accourcir,0.002818035426731,0.002001334222815,0.000816701203916
accoure,0.000402576489533,0.000333555703803,6.90207857303449E-05
accourir,0.019323671497585,0.0263509006004,-0.007027229102816
accoute,0.000402576489533,0,0.000402576489533
accoutez,0.000805152979066,0,0.000805152979066
accoutrement,0.000805152979066,0,0.000805152979066
accoutrer,0.000402576489533,0,0.000402576489533
accoutumance,0.000805152979066,0,0.000805152979066
accoutumée,0.000805152979066,0.00400266844563,-0.003197515466564
accoutumer,0.028985507246377,0.033355570380254,-0.004370063133877
accoutumés,0.000402576489533,0.000667111407605,-0.000264534918072
accréditer,0.002415458937198,0.000333555703803,0.002081903233395
accroche,0.000402576489533,0.000333555703803,6.90207857303449E-05
accroché,0.000402576489533,0,0.000402576489533
accroche-t-il,0.000402576489533,0,0.000402576489533
accrocher,0.00402576489533,0.000333555703803,0.003692209191527
accrochés,0.000402576489533,0,0.000402576489533
accroire,0.016908212560387,0.001000667111408,0.015907545448979
accroissement,0,0.000667111407605,-0.000667111407605
accroît,0.000402576489533,0.001000667111408,-0.000598090621875
accroît-il,0,0.000333555703803,-0.000333555703803
accroître,0.019726247987118,0.048365577051368,-0.02863932906425
accru,0,0.00133422281521,-0.00133422281521
accueil,0.030998389694042,0.02501667778519,0.005981711908852
accueillir,0.006038647342995,0.003002001334223,0.003036646008772
acculer,0,0.000333555703803,-0.000333555703803
accumuler,0.000402576489533,0.002334889926618,-0.001932313437085
accurse,0.000805152979066,0,0.000805152979066
accusable,0,0.000333555703803,-0.000333555703803
accusait-elle,0,0.000333555703803,-0.000333555703803
accusateur,0.000805152979066,0.007004669779853,-0.006199516800787
accusatif,0.000402576489533,0,0.000402576489533
accusation,0.002012882447665,0.003669112741828,-0.001656230294163
accusé,0.00402576489533,0.008338892595063,-0.004313127699733
accuse-le,0,0.000333555703803,-0.000333555703803
accuse-t,0.000805152979066,0.001000667111408,-0.000195514132342
accuse-t-il,0,0.000667111407605,-0.000667111407605
accuser,0.087359098228664,0.172448298865911,-0.085089200637247
acérer,0.000805152979066,0,0.000805152979066
ach'trai,0.000402576489533,0,0.000402576489533
achab,0,0.001667778519013,-0.001667778519013
achaïe,0.000402576489533,0,0.000402576489533
achalander,0.000402576489533,0,0.000402576489533
achalandeur,0.000402576489533,0,0.000402576489533
acharné,0.000805152979066,0,0.000805152979066
acharnement,0.000805152979066,0.000333555703803,0.000471597275263
acharner,0.005636070853462,0.005336891260841,0.000299179592621
achas,0,0.003002001334223,-0.003002001334223
achat,0.003220611916264,0.00133422281521,0.001886389101054
achate,0,0.00266844563042,-0.00266844563042
acheloüs,0,0.000333555703803,-0.000333555703803
acheminement,0.000402576489533,0,0.000402576489533
acheminer,0.003623188405797,0.00266844563042,0.000954742775377
acheron,0,0.000333555703803,-0.000333555703803
achéron,0.001207729468599,0.001667778519013,-0.000460049050414
acherontide,0,0.000333555703803,-0.000333555703803
achérontides,0.000402576489533,0,0.000402576489533
achète,0.000805152979066,0.002334889926618,-0.001529736947552
acheter,0.051127214170693,0.046364242828552,0.00476297134214
achètes,0.000402576489533,0,0.000402576489533
acheteur,0.001207729468599,0,0.001207729468599
acheva-t-il,0,0.000333555703803,-0.000333555703803
achevait-il,0,0.000333555703803,-0.000333555703803
achevât,0,0.000333555703803,-0.000333555703803
achevé,0.002012882447665,0.000333555703803,0.001679326743862
achève,0.014895330112722,0.027685123415611,-0.012789793302889
achève-nous,0.000402576489533,0,0.000402576489533
achèvement,0.000402576489533,0.000333555703803,6.90207857303449E-05
achèvent,0,0.000667111407605,-0.000667111407605
achever,0.138486312399356,0.204136090727151,-0.065649778327796
achèvera,0,0.000667111407605,-0.000667111407605
achèverai,0,0.000333555703803,-0.000333555703803
achèverait-il,0,0.000333555703803,-0.000333555703803
achèveras,0.000402576489533,0,0.000402576489533
achevèrent,0,0.000333555703803,-0.000333555703803
achèveront,0,0.000667111407605,-0.000667111407605
achillains,0.000402576489533,0,0.000402576489533
achillas,0,0.003669112741828,-0.003669112741828
achille,0.002415458937198,0.038358905937292,-0.035943447000094
achilles,0.000402576489533,0,0.000402576489533
achillle,0,0.000333555703803,-0.000333555703803
achimelec,0,0.000333555703803,-0.000333555703803
achior,0,0.002334889926618,-0.002334889926618
achis,0,0.00133422281521,-0.00133422281521
achit,0.000402576489533,0,0.000402576489533
achitophel,0,0.004669779853236,-0.004669779853235
achmat,0,0.00266844563042,-0.00266844563042
achmet,0,0.00266844563042,-0.00266844563042
achomat,0,0.003002001334223,-0.003002001334223
achorée,0,0.00133422281521,-0.00133422281521
acide,0.000805152979066,0,0.000805152979066
acier,0.001207729468599,0.005003335557038,-0.003795606088439
acmat,0,0.00133422281521,-0.00133422281521
acomat,0,0.003002001334223,-0.003002001334223
aconit,0.000402576489533,0.000333555703803,6.90207857303449E-05
acoquiner,0.001207729468599,0,0.001207729468599
acoute,0.002818035426731,0,0.002818035426731
acouter,0.000402576489533,0,0.000402576489533
acoutez,0.002012882447665,0,0.002012882447665
acquérez,0,0.000667111407605,-0.000667111407605
acquérez-le,0,0.000333555703803,-0.000333555703803
acquérir,0.055958132045089,0.081387591727819,-0.02542945968273
acquérons,0,0.000667111407605,-0.000667111407605
acquêt,0.002012882447665,0.000333555703803,0.001679326743862
acquière,0,0.000333555703803,-0.000333555703803
acquièrent,0.000402576489533,0,0.000402576489533
acquiers,0,0.000333555703803,-0.000333555703803
acquiescer,0.000805152979066,0.000333555703803,0.000471597275263
acquis|acquit,0.019323671497585,0.02101400933956,-0.001690337841975
acquise,0,0.000333555703803,-0.000333555703803
acquisition,0.002415458937198,0.000333555703803,0.002081903233395
acquisitoires,0.000402576489533,0,0.000402576489533
acquit,0.000402576489533,0,0.000402576489533
acquitté,0.002012882447665,0.001000667111408,0.001012215336258
acquitter,0.055152979066023,0.043028685790527,0.012124293275496
acquitter|acquérir,0.000402576489533,0.000333555703803,6.90207857303449E-05
